Term,Definition,Category,associatedMaterial
composition,"Composition refers to the arrangement and organization of visual elements within a work of art, such as a painting, drawing, photograph, or design. The composition is crucial in determining the overall balance, harmony, and unity of the piece, as well as guiding the viewer's eye through the artwork. Artists and designers often consider various principles and elements of design when creating a composition, including line, shape, form, color, texture, value, space, balance, contrast, emphasis, movement, pattern, rhythm, and unity. By skillfully combining these elements, artists can evoke certain moods, convey meaning, and establish a visual hierarchy within their work.",composition and color theory,
color choice (hue),"color choice refers to the selection and combination of colors used in a piece of artwork or design. Color choice is a crucial aspect of creating visually appealing and effective compositions, as it can significantly impact the mood, atmosphere, and overall aesthetic of a piece. When choosing colors, artists and designers often consider several factors, including; Color theory: The study of how colors interact, relate, and influence one another. Color theory provides a basis for understanding color harmony, complementary colors, analogous colors, triadic color schemes, and other color relationships; Color psychology: The study of how colors can evoke certain emotions or associations. For example, red can signify passion or danger, while blue can represent calmness or trust; Visual hierarchy: The use of color to create emphasis or contrast, guiding the viewer's attention to specific elements in the composition; Cultural associations: Colors may carry specific meanings or connotations in different cultures. Artists and designers may consider these associations when targeting a particular audience or conveying a specific message; Context: The intended purpose or environment of the artwork or design can influence color choice. For example, a color palette for a children's book may be bright and playful, while a corporate logo may use more subdued, professional colors; Personal style or artistic intent: The artist's individual preferences, experiences, and creative goals can also play a role in color selection.",composition and color theory,
kerning,"The spacing between letters or characters in text. Kerning establishes a spacial relationship between characters, controlling how condensed or expanded a word seems. Spatial relationships help support the conveyance of meaning.","typography,visual design","https://www.youtube.com/watch?v=vo34Vp6_vkA,https://type.method.ac/"
use of white space,"White space, also known as negative space or blank space, refers to the unoccupied areas or empty spaces within a composition. White space can be any color, not just white, and it plays a crucial role in creating balance, contrast, and visual hierarchy in a piece of art or design.

White space is essential for several reasons; Readability and legibility: In graphic design, particularly with typography, white space is important for improving the readability and legibility of text by preventing it from appearing cluttered or overwhelming; Focus and emphasis: White space can help draw attention to specific elements in a composition by creating contrast and separating them from other components. This can guide the viewer's eye and create a focal point in the artwork or design; Balance and harmony: The strategic use of white space can create a sense of balance and harmony in a composition, allowing different elements to coexist without competing for attention; Simplicity: White space can lend a sense of simplicity, elegance, and sophistication to a design by eliminating unnecessary visual clutter and allowing the essential elements to stand out.","visual design,composition and color theory",
typeface choice,"Typeface selection refers to the process of choosing a specific font or style of lettering for use in a design, such as in printed materials, websites, logos, or packaging. Typeface selection is a critical aspect of graphic design and typography, as it can significantly influence the overall aesthetic, readability, and message of a piece. When selecting a typeface, designers consider several factors, including:

Legibility and readability: The chosen typeface should be easily readable and have clear, distinguishable letterforms. This ensures that the intended audience can understand the text without difficulty.

Mood and tone: Different typefaces can convey different moods and emotions. For example, a serif font may evoke a sense of tradition and formality, while a sans-serif font might appear more modern and minimalist. Designers choose typefaces that align with the desired tone and message of the design.

Context and purpose: The intended use of the design, as well as the target audience, can impact typeface selection. For example, a playful, decorative font may be appropriate for a children's book cover, but not for a legal document or corporate report.

Visual hierarchy and contrast: Designers often use different typefaces or font styles (bold, italic, etc.) to establish visual hierarchy and contrast between different elements, such as headings and body text. This helps guide the viewer's attention and provides structure to the design.

Compatibility and harmony: The selected typeface should work well with other visual elements in the design, such as color, imagery, and layout. A harmonious combination of typeface and other design elements creates a cohesive and visually appealing piece.

Accessibility: Inclusive design considerations may influence typeface selection, as some fonts are more easily readable by individuals with visual impairments or dyslexia.

Typeface selection is a crucial aspect of art and design, as it can impact the overall effectiveness, aesthetics, and communication of a piece. Designers must carefully consider various factors to choose a typeface that best suits the project's goals and enhances the overall visual composition.","typography,human factors,visual design",
ornamentation,,visual design,
visual hierarchy,,"composition and color theory,visual design",
concept,,"concept development and creativity,story and narrative",
moral centrism,,ethics,
rule of thirds,,"composition and color theory,visual design",
color circulation,,composition and color theory,
value range,,composition and color theory,
complexity,,visual design,
saturation pull,,composition and color theory,
color pull,,composition and color theory,
spherical falloff,,composition and color theory,
contrast,,composition and color theory,
high key,,composition and color theory,
middle key,,composition and color theory,
low key,,composition and color theory,
analogous colors,,composition and color theory,
primary colors,,composition and color theory,
tertiary colors,,composition and color theory,
hue shift,,composition and color theory,
cool,,composition and color theory,
warm,,composition and color theory,
cognitive load,,human factors,
mental model,,human factors,
facts,,research,
credibility,,research,
sources,,research,
writing style,,writing,
formatting,,"research,writing",
grammar and spelling,,writing,
alignment,,human factors,
cognitive dissonance,,human factors,
bias,,human factors,
navigation,,wayfinding,
contextual awareness,,wayfinding,
personas,,human factors,
interviews,,human factors,
risk taking,,concept development and creativity,
novel approaches,,concept development and creativity,
biomimicry,,concept development and creativity,
grid system,,composition and color theory,
white space,,composition and color theory,
negative space,,composition and color theory,
forground,,composition and color theory,
middleground,,composition and color theory,
background,,composition and color theory,
figure-ground relationship,,composition and color theory,
synectics,,concept development and creativity,
design thinking,,concept development and creativity,
business plan,,business and entrepreneurship,
business model,,business and entrepreneurship,
economic model,,business and entrepreneurship,
branching path narrative,,story and narrative,
dialogue,,story and narrative,
characters,,story and narrative,
critical path,,story and narrative,
Mixed Reality (MR),"A digital experience that combines elements of virtual and augmented reality, often using wearable technology such as smart glasses or headsets.",immersive,
Design for Sustainability,A design thinking principle that emphasizes creating products and services that are environmentally sustainable and minimize negative impacts on the planet.,design thinking,
Design for Inclusion,A design thinking principle that emphasizes creating products and services that are inclusive and support diversity and equity.,design thinking,
Design for Failure,A design thinking principle that emphasizes learning from failure and using it as a source of feedback and inspiration for future improvements.,design thinking,
Design for Change,A design thinking principle that emphasizes creating products and services that can adapt and evolve over time to meet changing user needs and market trends.,design thinking,
Design Research,"A process of gathering information and insights about user needs and behaviors through techniques such as interviews, surveys, and observation.",design thinking,
Design Brief,"A document or statement that outlines the goals, constraints, and expectations for a design project.",design thinking,
Design Persona,"A fictional representation of a target user group, often used in design thinking to help designers understand and empathize with user needs and perspectives.",design thinking,
Design Framework,"A set of principles, guidelines, and tools that are used to structure and guide the design process.",design thinking,
Human Factors,"The scientific study of how humans interact with technology and the environment, often used to inform and improve design.",design thinking,
Design Constraints,"Limitations or restrictions that must be considered in the design process, such as time, budget, and resources.",design thinking,
Design Thinking Mindset,"A creative, iterative approach to problem-solving that emphasizes empathy, experimentation, and collaboration.",design thinking,
Customer Journey Mapping,A design thinking technique used to visualize and understand the stages and touchpoints of a customer's experience with a product or service.,design thinking,
Empathy Mapping,"A design thinking technique used to gain insights into user needs and perspectives by creating a visual representation of their thoughts, feelings, and behaviors.",design thinking,
Rapid Prototyping,A design thinking technique used to quickly create and test multiple iterations of a product or service in order to refine and improve it.,design thinking,
Ideation,"The process of generating and developing new ideas, often through brainstorming and collaboration.",design thinking,
User Testing,A design thinking technique used to gather feedback and insights from users by observing their interactions with a product or service.,design thinking,
Storyboarding,"A visual planning tool used in design thinking to break down a project or idea into smaller, more manageable components.",design thinking,
Design Sprint,"A structured, time-boxed process used in design thinking to quickly prototype and test solutions to a specific problem or challenge.",design thinking,
User Persona,"A fictional representation of a target user group, often used in design thinking to help designers understand and empathize with user needs and perspectives.",design thinking,
Human-Centered Design,"A design thinking approach that focuses on the needs, desires, and perspectives of the end-users or customers.",design thinking,
Visual Thinking,"A design thinking technique that uses visual aids such as diagrams, sketches, and charts to help with ideation, communication, and problem-solving.",design thinking,
Co-Creation,"A collaborative design thinking technique that involves working with users, stakeholders, and other designers to develop and refine solutions.",design thinking,
Design Critique,A review process used in design thinking to evaluate and provide feedback on a design solution or prototype.,design thinking,
Design Ethnography,"A design thinking research method that involves observing and documenting the behaviors, culture, and environment of a user group.",design thinking,
Design for Delight,A design thinking principle that emphasizes creating products and services that exceed user expectations and provide a delightful experience.,design thinking,
Design for Accessibility,"A design thinking principle that emphasizes creating products and services that are usable and accessible to a wide range of users, including those with disabilities.",design thinking,
Climax,"The highest point of tension or conflict in a story, often the turning point or moment of resolution.",story and narrative,
Denouement,"The resolution or aftermath of a story, often used to tie up loose ends and provide closure.",story and narrative,
Backstory,"The events and experiences that shape a character's past and personality, often revealed through exposition or flashbacks.",story and narrative,
Plot Twist,"A sudden or unexpected change in the direction or outcome of a story, often used to surprise or shock the reader.",story and narrative,
Protagonist,"The main character in a story, often the hero or the character whose journey the story follows.",story and narrative,
Antagonist,"The character or force that opposes the protagonist in a story, often the villain or the character whose actions create conflict in the story.",story and narrative,
Theme,"The underlying message or meaning of a story, often related to universal human experiences or ideas.",story and narrative,
Foreshadowing,A literary technique used to hint at future events or plot developments in a story.,story and narrative,
Flashback,A literary technique used to present events that occurred before the current time period in a story.,story and narrative,
Point of View,"The perspective from which a story is told, often determined by the narrator or the main character.",story and narrative,
Dialogue,"The words spoken by characters in a story, often used to reveal their personality, motivation, and relationships.",story and narrative,
Narration,"The process of telling a story, often through a narrator or a character's perspective.",story and narrative,
Diction,"The choice and use of words and phrases in a story, often used to create tone and enhance characterization.",story and narrative,
Style,"The distinctive manner or way of writing that a writer uses in a story, often used to create tone and enhance characterization.",story and narrative,
Archetype,"A recurring symbol, character, or theme in literature that represents a universal human experience or idea.",story and narrative,
Paradox,"A literary device used to create a contradiction or puzzle in a story, often used to explore complex themes or ideas.",story and narrative,
Satire,A literary technique used to criticize or ridicule human behavior or institutions through humor or irony.,story and narrative,
Subtext,"The underlying meanings or implications that are not explicitly stated in a story, often revealed through dialogue or actions.",story and narrative,
In medias res,"A literary technique used to begin a story in the middle of the action, often used to create suspense or intrigue.",story and narrative,
Archetypal Plot,"A narrative structure or sequence of events in a story that follows a universal pattern or archetype, such as the hero's journey or the fall from grace.",story and narrative,
Empathetic Protagonist,"A protagonist who is relatable and emotionally engaging, often used to create a strong connection with the reader.",story and narrative,
Dynamic Antagonist,"An antagonist who is multi-dimensional and complex, often exhibiting a range of emotions and motivations.",story and narrative,
Setting as Character,"A literary technique used to treat the setting of a story as a character in its own right, often using descriptions and details to enhance the mood and tone of the story.",story and narrative,
Pacing,"The speed and rhythm of a story, often used to create tension, suspense, or emotional impact.",story and narrative,
Plot Device,A literary technique or object used to advance the plot or create conflict in a story.,story and narrative,
Deus ex Machina,A literary technique used to resolve a story's conflicts or plot developments through an unexpected or improbable event or character.,story and narrative,
Parable,"A brief story used to illustrate a moral or religious lesson, often featuring human or anthropomorphic characters.",story and narrative,
Narrative Hook,A literary technique used to capture the reader's attention and interest at the beginning of a story.,story and narrative,
